STATION;Annee;EAQI_GLOBAL;POLLUANT;SIGLE POLLUANT;Mean-HourCalculation;Unit;EAQI_Index
ES0116A;2009;;Total volatile organic compounds (air);T-VOC;1,457;µg/m3;
ES0774A;2004;;Nitrogen oxides (air);NOX;9,81;µg NO2/m3;
ES1670A;2008;;Particulate matter < 1 µm (aerosol);PM1;8,969;µg/m3;
ES1354A;2008;;Benzene (air);C6H6;0,114;µg/m3;
ES0110A;2001;;Nitrogen monoxide (air);NO;32,409;µg/m3;
ES1566A;2002;;Benzene (air);C6H6;1,613;µg/m3;
ES1572A;2001;;Nitrogen oxides (air);NOX;45,268;µg NO2/m3;
ES1171A;2000;;Total suspended particulates (aerosol);SPM;39,173;µg/m3;
ES1278A;2007;;Toluene (air);C6H5-CH3;4,127;µg/m3;
ES0116A;2008;;Carbon monoxide (air);CO;0,608;mg/m3;
PT03055;2011;;Nitrogen monoxide (air);NO;4,223;µg/m3;
ES1691A;2006;;Nitrogen oxides (air);NOX;9,902;µg NO2/m3;
ES1450A;2010;;Carbon monoxide (air);CO;0,317;mg/m3;
ES1913A;2012;;Nitrogen oxides (air);NOX;5,436;µg NO2/m3;
FR21021;2004;;Nitrogen monoxide (air);NO;4,964;µg/m3;
FR23120;2011;;Nitrogen monoxide (air);NO;4,106;µg/m3;
FR02031;2012;;Nitrogen monoxide (air);NO;17,785;µg/m3;
PT01026;2010;;Nitrogen monoxide (air);NO;20,644;µg/m3;
ES1601A;2007;;Nitrogen monoxide (air);NO;4,579;µg/m3;
FR28131;2012;;Nitrogen oxides (air);NOX;28,297;µg NO2/m3;
FR34032;2012;;Nitrogen monoxide (air);NO;2,406;µg/m3;
ES1494A;2002;;Nitrogen monoxide (air);NO;33,86;µg/m3;
ES1275A;2002;;Nitrogen monoxide (air);NO;30,725;µg/m3;
ES1499A;2006;;Nitrogen oxides (air);NOX;62,849;µg NO2/m3;
ES1864A;2011;;Nitrogen monoxide (air);NO;4,363;µg/m3;
PT02005;2004;;Carbon monoxide (air);CO;0,625;mg/m3;
ES1445A;2002;;Carbon monoxide (air);CO;0,441;mg/m3;
ES1577A;2005;;Nitrogen monoxide (air);NO;14,119;µg/m3;
ES1424A;2001;;Carbon monoxide (air);CO;0,889;mg/m3;
ES1355A;2008;;Nitrogen monoxide (air);NO;15,282;µg/m3;
ES1489A;2006;;Nitrogen monoxide (air);NO;2,965;µg/m3;
FR25037;2012;;Carbon monoxide (air);CO;0,289;mg/m3;
ES0123A;1987;;Carbon monoxide (air);CO;55,697;mg/m3;
PT06004;2005;;Nitrogen oxides (air);NOX;107,118;µg NO2/m3;
ES1854A;2010;;Nitrogen oxides (air);NOX;3,276;µg NO2/m3;
ES1480A;2010;;Carbon monoxide (air);CO;0,598;mg/m3;
ES1359A;2006;;Nitrogen monoxide (air);NO;2,07;µg/m3;
ES1568A;2008;;Nitrogen oxides (air);NOX;63,293;µg NO2/m3;
ES1811A;2011;;Nitrogen monoxide (air);NO;6,559;µg/m3;
ES1604A;2001;;Nitrogen oxides (air);NOX;18,722;µg NO2/m3;
ES1944A;2010;;Nitrogen monoxide (air);NO;10,537;µg/m3;
ES0905A;2004;;Nitrogen monoxide (air);NO;11,648;µg/m3;
ES1192A;2008;;Total non-methane hydrocarbons (air);THC (NM);0,225;µg C/m3;
ES1809A;2009;;Nitrogen oxides (air);NOX;38,816;µg NO2/m3;
ES0651A;2008;;Benzene (air);C6H6;1,101;µg/m3;
ES1480A;2001;;Nitrogen oxides (air);NOX;181,519;µg NO2/m3;
ES1549A;2001;;Nitrogen oxides (air);NOX;28,696;µg NO2/m3;
ES1764A;2008;;Nitrogen monoxide (air);NO;9,694;µg/m3;
ES1178A;2001;;Nitrogen monoxide (air);NO;29,083;µg/m3;
ES1246A;2005;;Nitrogen oxides (air);NOX;15,355;µg NO2/m3;
ES1351A;2004;;Carbon monoxide (air);CO;0,403;mg/m3;
FR07021;2012;;Nitrogen monoxide (air);NO;34,413;µg/m3;
ES1876A;2011;;Carbon monoxide (air);CO;0,324;mg/m3;
ES1536A;2004;;Carbon monoxide (air);CO;0,504;mg/m3;
ES1163A;2003;;Nitrogen monoxide (air);NO;31,268;µg/m3;
ES1185A;1997;;Total volatile organic compounds (air);T-VOC;13997,879;µg/m3;
ES1956A;2012;;Carbon monoxide (air);CO;0,154;mg/m3;
ES1619A;2002;;Nitrogen monoxide (air);NO;17,123;µg/m3;
ES1130A;2009;;Nitrogen oxides (air);NOX;15,898;µg NO2/m3;
ES1363A;2008;;Carbon monoxide (air);CO;0,42;mg/m3;
ES1349A;2004;;Carbon monoxide (air);CO;0,405;mg/m3;
ES1298A;2011;;Toluene (air);C6H5-CH3;0,706;µg/m3;
ES1803A;2010;;Total non-methane hydrocarbons (air);THC (NM);0,599;µg C/m3;
ES1664A;2011;;Benzene (air);C6H6;0,432;µg/m3;
ES1687A;2011;;Carbon monoxide (air);CO;0,136;mg/m3;
FR29424;2012;;Nitrogen oxides (air);NOX;33,345;µg NO2/m3;
ES1387A;2009;;Nitrogen monoxide (air);NO;5,674;µg/m3;
ES1339A;2003;;Carbon monoxide (air);CO;0,407;mg/m3;
ES1803A;2007;;Total volatile organic compounds (air);T-VOC;6,467;µg/m3;
PT02004;2012;;Nitrogen monoxide (air);NO;8,34;µg/m3;
ES0126A;2002;;Nitrogen monoxide (air);NO;21,907;µg/m3;
ES1876A;2007;;Nitrogen monoxide (air);NO;3,437;µg/m3;
FR04023;2011;;Nitrogen oxides (air);NOX;28,325;µg NO2/m3;
ES1516A;2011;;Nitrogen oxides (air);NOX;35,127;µg NO2/m3;
PT06006;2010;;Nitrogen oxides (air);NOX;24,676;µg NO2/m3;
ES1176A;2000;;Nitrogen monoxide (air);NO;19,136;µg/m3;
ES0762A;2005;;Nitrogen monoxide (air);NO;29,009;µg/m3;
ES1033A;2003;;Total suspended particulates (aerosol);SPM;19,525;µg/m3;
ES1499A;2005;;Nitrogen oxides (air);NOX;70,185;µg NO2/m3;
FR15043;2011;;Nitrogen oxides (air);NOX;41,285;µg NO2/m3;
ES1437A;2008;;Nitrogen oxides (air);NOX;8,876;µg NO2/m3;
FR34046;2004;;Nitrogen oxides (air);NOX;24,55;µg NO2/m3;
PT01028;2009;;Carbon monoxide (air);CO;0,577;mg/m3;
ES0372A;2008;;Nitrogen monoxide (air);NO;7,935;µg/m3;
ES1496A;2007;;Nitrogen monoxide (air);NO;31,073;µg/m3;
ES1591A;2009;;Nitrogen oxides (air);NOX;53,386;µg NO2/m3;
ES1171A;1997;;Total suspended particulates (aerosol);SPM;36,291;µg/m3;
FR34031;2012;;Nitrogen oxides (air);NOX;12,775;µg NO2/m3;
ES1254A;2000;;Nitrogen oxides (air);NOX;74,286;µg NO2/m3;
ES1658A;2005;;Benzene (air);C6H6;0,513;µg/m3;
FR26016;2012;;Nitrogen monoxide (air);NO;3,799;µg/m3;
FR31006;2007;;Carbon monoxide (air);CO;0,258;mg/m3;
ES0355A;2002;;Nitrogen oxides (air);NOX;22,406;µg NO2/m3;
ES1443A;2011;;Nitrogen monoxide (air);NO;7,737;µg/m3;
ES1767A;2012;;Nitrogen monoxide (air);NO;2,07;µg/m3;
FR10023;2002;;Carbon monoxide (air);CO;0,459;mg/m3;
ES1176A;2001;;Carbon monoxide (air);CO;0,795;mg/m3;
PT02005;2009;;Nitrogen monoxide (air);NO;21,411;µg/m3;
ES1598A;2010;;Nitrogen oxides (air);NOX;27,136;µg NO2/m3;
ES0695A;2006;;Nitrogen oxides (air);NOX;79,537;µg NO2/m3;
PT02017;2004;;Carbon monoxide (air);CO;0,417;mg/m3;
ES1560A;2005;;Nitrogen oxides (air);NOX;98,468;µg NO2/m3;
FR32006;2002;;Carbon monoxide (air);CO;0,482;mg/m3;
ES2010A;2012;;Nitrogen oxides (air);NOX;53,556;µg NO2/m3;
ES0074A;2007;;Nitrogen oxides (air);NOX;9,489;µg NO2/m3;
PT06004;2006;;Carbon monoxide (air);CO;0,548;mg/m3;
FR31021;2004;;Nitrogen oxides (air);NOX;26,707;µg NO2/m3;
ES0070A;2004;;Nitrogen oxides (air);NOX;5,443;µg NO2/m3;
ES1253A;2001;;Nitrogen oxides (air);NOX;46,608;µg NO2/m3;
FR25025;1999;;Carbon monoxide (air);CO;1,297;mg/m3;
PT04003;2002;;Nitrogen oxides (air);NOX;9,019;µg NO2/m3;
ES1952A;2012;;Nitrogen monoxide (air);NO;1,53;µg/m3;
ES1779A;2011;;Carbon monoxide (air);CO;0,426;mg/m3;
ES1752A;2007;;Benzene (air);C6H6;0,43;µg/m3;
FR04105;2011;;Nitrogen monoxide (air);NO;14,045;µg/m3;
ES1927A;2011;;Nitrogen oxides (air);NOX;28,867;µg NO2/m3;
ES0126A;2005;;Nitrogen oxides (air);NOX;84,001;µg NO2/m3;
ES1532A;2004;;Nitrogen monoxide (air);NO;20,632;µg/m3;
PT02017;2007;;Nitrogen oxides (air);NOX;47,603;µg NO2/m3;
ES1576A;2005;;Carbon monoxide (air);CO;0,387;mg/m3;
ES1225A;2005;;Carbon monoxide (air);CO;0,469;mg/m3;
ES1095A;2011;;Nitrogen monoxide (air);NO;4,681;µg/m3;
ES1441A;2010;;Nitrogen monoxide (air);NO;2,545;µg/m3;
PT03010;2008;;Nitrogen monoxide (air);NO;9,394;µg/m3;
FR04053;2005;;Carbon monoxide (air);CO;1,338;mg/m3;
ES0360A;2009;;Nitrogen oxides (air);NOX;19,569;µg NO2/m3;
ES1943A;2012;;Nitrogen monoxide (air);NO;53,51;µg/m3;
PT01027;2009;;Nitrogen monoxide (air);NO;30,053;µg/m3;
ES1563A;2010;;Carbon monoxide (air);CO;0,68;mg/m3;
ES1027A;1999;;Total volatile organic compounds (air);T-VOC;3621,366;µg/m3;
ES0330A;2006;;Nitrogen monoxide (air);NO;4,242;µg/m3;
ES1625A;2009;;Nitrogen monoxide (air);NO;11,121;µg/m3;
ES1630A;2012;;Nitrogen monoxide (air);NO;4,93;µg/m3;
ES1846A;2007;;Nitrogen monoxide (air);NO;8,907;µg/m3;
ES1819A;2009;;Nitrogen oxides (air);NOX;11,539;µg NO2/m3;
ES1396A;2012;;Nitrogen monoxide (air);NO;10,553;µg/m3;
PT03070;2005;;Nitrogen monoxide (air);NO;6,396;µg/m3;
ES1278A;2009;;Benzene (air);C6H6;2,258;µg/m3;
ES0588A;2009;;Nitrogen oxides (air);NOX;38,619;µg NO2/m3;
FR29429;2012;;Nitrogen oxides (air);NOX;109,242;µg NO2/m3;
ES1320A;2007;;Nitrogen oxides (air);NOX;61,95;µg NO2/m3;
ES1303A;2004;;Nitrogen oxides (air);NOX;5,22;µg NO2/m3;
ES0894A;2003;;Nitrogen oxides (air);NOX;22,866;µg NO2/m3;
ES1653A;2008;;Carbon monoxide (air);CO;0,436;mg/m3;
ES1490A;2003;;Nitrogen oxides (air);NOX;60,644;µg NO2/m3;
FR27002;2012;;Nitrogen oxides (air);NOX;50,639;µg NO2/m3;
FR05054;2012;;Nitrogen oxides (air);NOX;37,511;µg NO2/m3;
ES0805A;2004;;Nitrogen oxides (air);NOX;63,396;µg NO2/m3;
ES1286A;2004;;Nitrogen monoxide (air);NO;25,035;µg/m3;
FR03021;2008;;Carbon monoxide (air);CO;0,079;mg/m3;
ES1172A;1997;;Carbon monoxide (air);CO;2,604;mg/m3;
ES1530A;2004;;Nitrogen oxides (air);NOX;21,669;µg NO2/m3;
ES0629A;2011;;Nitrogen monoxide (air);NO;3,383;µg/m3;
ES1126A;2000;;Total suspended particulates (aerosol);SPM;45,009;µg/m3;
ES1135A;2003;;Carbon monoxide (air);CO;0,488;mg/m3;
ES1074A;2003;;Nitrogen oxides (air);NOX;36,686;µg NO2/m3;
ES0125A;2000;;Nitrogen oxides (air);NOX;190,28;µg NO2/m3;
ES1445A;2001;;Total suspended particulates (aerosol);SPM;52,706;µg/m3;
ES1404A;2001;;Carbon monoxide (air);CO;0,79;mg/m3;
ES1294A;2004;;Carbon monoxide (air);CO;0,885;mg/m3;
PT01043;2009;;Nitrogen oxides (air);NOX;41,415;µg NO2/m3;
ES1906A;2010;;Carbon monoxide (air);CO;0,488;mg/m3;
FR26011;2004;;Carbon monoxide (air);CO;0,194;mg/m3;
ES0762A;2008;;Nitrogen monoxide (air);NO;9,595;µg/m3;
ES1547A;2008;;Nitrogen oxides (air);NOX;26,121;µg NO2/m3;
ES1490A;2004;;Nitrogen monoxide (air);NO;21,383;µg/m3;
ES1397A;2006;;Nitrogen monoxide (air);NO;16,619;µg/m3;
ES1880A;2009;;Carbon monoxide (air);CO;0,109;mg/m3;
ES1497A;2008;;Nitrogen monoxide (air);NO;15,835;µg/m3;
ES1193A;1997;;Total volatile organic compounds (air);T-VOC;1281,425;µg/m3;
PT03072;2003;;Nitrogen monoxide (air);NO;31,964;µg/m3;
ES1525A;2010;;Nitrogen monoxide (air);NO;20,018;µg/m3;
ES1133A;2012;;Nitrogen oxides (air);NOX;19,042;µg NO2/m3;
PT03093;2012;;Carbon monoxide (air);CO;0,218;mg/m3;
FR30021;2011;;Nitrogen monoxide (air);NO;8,353;µg/m3;
PT01021;2001;;Nitrogen monoxide (air);NO;16,955;µg/m3;
ES1312A;2012;;Nitrogen oxides (air);NOX;27,56;µg NO2/m3;
ES1386A;2003;;Total suspended particulates (aerosol);SPM;25,214;µg/m3;
FR18035;2012;;Nitrogen monoxide (air);NO;11,94;µg/m3;
FR19007;2011;;Carbon monoxide (air);CO;0,257;mg/m3;
ES1759A;2012;;Nitrogen oxides (air);NOX;63,137;µg NO2/m3;
ES1172A;2007;;Nitrogen monoxide (air);NO;72,487;µg/m3;
ES1038A;2006;;Nitrogen monoxide (air);NO;10,911;µg/m3;
ES1946A;2012;;Nitrogen oxides (air);NOX;40,942;µg NO2/m3;
ES1279A;2008;;Benzene (air);C6H6;3,248;µg/m3;
PT01046;2011;;Toluene (air);C6H5-CH3;10,928;µg/m3;
ES1129A;2009;;Nitrogen monoxide (air);NO;3,317;µg/m3;
ES1610A;2004;;Benzene (air);C6H6;0,78;µg/m3;
ES1348A;2006;;Nitrogen monoxide (air);NO;2,854;µg/m3;
FR01019;2012;;Nitrogen oxides (air);NOX;31,25;µg NO2/m3;
PT06004;2007;;Nitrogen oxides (air);NOX;118,76;µg NO2/m3;
ES1565A;2010;;Total non-methane hydrocarbons (air);THC (NM);1,407;µg C/m3;
ES1529A;2008;;Carbon monoxide (air);CO;0,436;mg/m3;
ES1178A;2001;;Nitrogen oxides (air);NOX;85,93;µg NO2/m3;
PT03010;1999;;Nitrogen oxides (air);NOX;64,401;µg NO2/m3;
ES1367A;2009;;Nitrogen oxides (air);NOX;18,266;µg NO2/m3;
ES1573A;2010;;Carbon monoxide (air);CO;0,316;mg/m3;
ES1917A;2009;;Nitrogen monoxide (air);NO;3,09;µg/m3;
ES1917A;2012;;Nitrogen monoxide (air);NO;4,064;µg/m3;
ES1612A;2012;;Nitrogen oxides (air);NOX;40,842;µg NO2/m3;
FR12045;2012;;Nitrogen monoxide (air);NO;9,468;µg/m3;
ES1123A;2011;;Nitrogen monoxide (air);NO;2,999;µg/m3;
ES1768A;2009;;Nitrogen monoxide (air);NO;4,464;µg/m3;
PT01034;2006;;Carbon monoxide (air);CO;0,48;mg/m3;
ES1122A;2010;;Nitrogen oxides (air);NOX;18,77;µg NO2/m3;
ES1354A;2011;;Nitrogen monoxide (air);NO;7,052;µg/m3;
ES0893A;2012;;Benzene (air);C6H6;1,155;µg/m3;
ES1778A;2012;;Nitrogen oxides (air);NOX;4,552;µg NO2/m3;
PT02002;2001;;Nitrogen oxides (air);NOX;35,845;µg NO2/m3;
FR32004;1999;;Carbon monoxide (air);CO;0,345;mg/m3;
ES0324A;2010;;Nitrogen monoxide (air);NO;1,606;µg/m3;
ES1804A;2009;;Nitrogen monoxide (air);NO;23,875;µg/m3;
FR16029;2012;;Nitrogen monoxide (air);NO;8,162;µg/m3;
ES1295A;2009;;Nitrogen monoxide (air);NO;3,315;µg/m3;
ES1472A;2012;;Nitrogen oxides (air);NOX;45,846;µg NO2/m3;
ES1762A;2010;;Particulate matter < 1 µm (aerosol);PM1;5,191;µg/m3;
ES0789A;2004;;Total suspended particulates (aerosol);SPM;12,792;µg/m3;
ES1072A;2011;;Nitrogen monoxide (air);NO;7,606;µg/m3;
ES1823A;2006;;Nitrogen monoxide (air);NO;12,483;µg/m3;
ES1609A;2006;;Nitrogen monoxide (air);NO;27,26;µg/m3;
ES1131A;2001;;Nitrogen oxides (air);NOX;82,342;µg NO2/m3;
ES1990A;2012;;Nitrogen oxides (air);NOX;4,091;µg NO2/m3;
ES0812A;2009;;Nitrogen monoxide (air);NO;1,538;µg/m3;
PT01025;2008;;Carbon monoxide (air);CO;0,266;mg/m3;
ES1125A;1999;;Carbon monoxide (air);CO;1,005;mg/m3;
ES0329A;2009;;Nitrogen monoxide (air);NO;1,754;µg/m3;
FR36019;2011;;Nitrogen monoxide (air);NO;5,733;µg/m3;
ES1185A;1998;;Carbon monoxide (air);CO;0,616;mg/m3;
ES1135A;2007;;Nitrogen oxides (air);NOX;48,603;µg NO2/m3;
ES1185A;1999;;Total volatile organic compounds (air);T-VOC;14531,902;µg/m3;
ES1439A;2002;;Total suspended particulates (aerosol);SPM;25,05;µg/m3;
ES1131A;2011;;Carbon monoxide (air);CO;0,286;mg/m3;
ES1494A;2005;;Nitrogen monoxide (air);NO;34,044;µg/m3;
ES1443A;2011;;Nitrogen oxides (air);NOX;28,664;µg NO2/m3;
ES1240A;2001;;Total suspended particulates (aerosol);SPM;82,787;µg/m3;
ES1537A;2004;;Carbon monoxide (air);CO;0,571;mg/m3;
ES1617A;2012;;Carbon monoxide (air);CO;0,13;mg/m3;
ES1472A;1997;;Methane (air);CH4;1149,831;µg/m3;
ES0010R;2009;;Nitrogen monoxide (air);NO;0,291;µg/m3;
ES0078A;2002;;Total suspended particulates (aerosol);SPM;14,743;µg/m3;
ES1969A;2010;;Carbon monoxide (air);CO;0,175;mg/m3;
PT03083;2009;;Nitrogen oxides (air);NOX;46,248;µg NO2/m3;
ES0013R;2003;;Nitrogen monoxide (air);NO;0,214;µg/m3;
ES1610A;2011;;Nitrogen monoxide (air);NO;20,235;µg/m3;
ES1420A;2006;;Nitrogen monoxide (air);NO;4,746;µg/m3;
ES1632A;2005;;Nitrogen oxides (air);NOX;50,89;µg NO2/m3;
ES1164A;2006;;Carbon monoxide (air);CO;0,549;mg/m3;
ES1312A;2002;;Nitrogen oxides (air);NOX;40,903;µg NO2/m3;
ES1292A;2006;;Carbon monoxide (air);CO;0,707;mg/m3;
FR23078;2012;;Nitrogen monoxide (air);NO;4,484;µg/m3;
ES1600A;2003;;Nitrogen monoxide (air);NO;33,006;µg/m3;
ES1716A;2007;;Nitrogen monoxide (air);NO;1,545;µg/m3;
ES1501A;2007;;Carbon monoxide (air);CO;0,333;mg/m3;
ES2006A;2012;;Nitrogen oxides (air);NOX;10,61;µg NO2/m3;
ES1914A;2009;;Nitrogen oxides (air);NOX;18,497;µg NO2/m3;
ES1877A;2009;;Carbon monoxide (air);CO;0,164;mg/m3;
FR01006;2011;;Nitrogen oxides (air);NOX;40,015;µg NO2/m3;
ES0110A;2007;;Nitrogen oxides (air);NOX;66,629;µg NO2/m3;
ES0925A;2007;;Nitrogen monoxide (air);NO;18,839;µg/m3;
ES1122A;2001;;Nitrogen oxides (air);NOX;23,317;µg NO2/m3;
FR03004;2012;;Nitrogen oxides (air);NOX;219,605;µg NO2/m3;
ES1426A;2012;;Nitrogen monoxide (air);NO;24,606;µg/m3;
ES1860A;2009;;Nitrogen oxides (air);NOX;16,067;µg NO2/m3;
ES1689A;2009;;Carbon monoxide (air);CO;0,214;mg/m3;
FR01012;2009;;Carbon monoxide (air);CO;0,101;mg/m3;
ES1435A;2000;;Nitrogen oxides (air);NOX;18,049;µg NO2/m3;
ES1320A;2008;;Nitrogen monoxide (air);NO;19,578;µg/m3;
ES1537A;2012;;Carbon monoxide (air);CO;0,146;mg/m3;
ES1441A;2012;;Nitrogen monoxide (air);NO;3,199;µg/m3;
ES0358A;2008;;Nitrogen monoxide (air);NO;2,573;µg/m3;
ES1643A;2010;;Nitrogen monoxide (air);NO;13,648;µg/m3;
ES0114A;2005;;Nitrogen monoxide (air);NO;39,569;µg/m3;
ES1370A;2010;;Carbon monoxide (air);CO;0,476;mg/m3;
FR30016;2006;;Carbon monoxide (air);CO;0,262;mg/m3;
ES0360A;2002;;Nitrogen oxides (air);NOX;44,14;µg NO2/m3;
ES1072A;2008;;Nitrogen oxides (air);NOX;38,625;µg NO2/m3;
ES2000A;2012;;Toluene (air);C6H5-CH3;2,489;µg/m3;
ES1054A;2004;;Nitrogen oxides (air);NOX;153,028;µg NO2/m3;
ES0587A;2006;;Carbon monoxide (air);CO;0,111;mg/m3;
FR12026;2004;;Nitrogen monoxide (air);NO;5,809;µg/m3;
FR12017;2004;;Nitrogen monoxide (air);NO;4,566;µg/m3;
ES1359A;2003;;Nitrogen monoxide (air);NO;2,027;µg/m3;
ES0633A;2006;;Nitrogen monoxide (air);NO;8,516;µg/m3;
ES0327A;2002;;Nitrogen monoxide (air);NO;1,907;µg/m3;
FR31003;2007;;Carbon monoxide (air);CO;0,295;mg/m3;
PT06006;2008;;Nitrogen monoxide (air);NO;7,572;µg/m3;
FR02005;2011;;Nitrogen monoxide (air);NO;4,465;µg/m3;
ES1711A;2007;;Carbon monoxide (air);CO;0,224;mg/m3;
FR33232;2012;;Nitrogen monoxide (air);NO;70,27;µg/m3;
ES1472A;2007;;Toluene (air);C6H5-CH3;1,543;µg/m3;
ES1272A;2011;;Benzene (air);C6H6;0,567;µg/m3;
FR23131;2004;;Nitrogen oxides (air);NOX;28,824;µg NO2/m3;
FR32002;2004;;Nitrogen oxides (air);NOX;96,046;µg NO2/m3;
ES1307A;2012;;Nitrogen oxides (air);NOX;24,977;µg NO2/m3;
ES1192A;2003;;Methane (air);CH4;0,245;µg/m3;
PT03055;1997;;Nitrogen oxides (air);NOX;71,369;µg NO2/m3;
ES1494A;1998;;Total suspended particulates (aerosol);SPM;40,568;µg/m3;
PT01034;2012;;Nitrogen monoxide (air);NO;8,184;µg/m3;
ES1811A;2010;;Nitrogen monoxide (air);NO;6,043;µg/m3;
ES1656A;2009;;Nitrogen oxides (air);NOX;44,654;µg NO2/m3;
PT03073;1999;;Nitrogen oxides (air);NOX;107,724;µg NO2/m3;
FR04024;2011;;Nitrogen oxides (air);NOX;41,837;µg NO2/m3;
PT01026;2007;;Carbon monoxide (air);CO;0,486;mg/m3;
ES0118A;2011;;Carbon monoxide (air);CO;0,314;mg/m3;
FR26017;2012;;Nitrogen oxides (air);NOX;18,833;µg NO2/m3;
ES1163A;2009;;Carbon monoxide (air);CO;0,365;mg/m3;
ES1713A;2012;;Nitrogen oxides (air);NOX;59,402;µg NO2/m3;
ES1193A;2008;;Total non-methane hydrocarbons (air);THC (NM);0,247;µg C/m3;
PT07001;2012;;Nitrogen monoxide (air);NO;0,794;µg/m3;
ES1426A;2003;;Nitrogen monoxide (air);NO;24,448;µg/m3;
ES1856A;2012;;Nitrogen monoxide (air);NO;6,845;µg/m3;
ES0008R;2010;;Elemental Gaseous Mercury (air+aerosol);Hg0;0,726;ng/m3;
ES2019A;2012;;Carbon monoxide (air);CO;0,081;mg/m3;
ES1492A;2002;;Nitrogen monoxide (air);NO;20,391;µg/m3;
FR26001;2011;;Nitrogen oxides (air);NOX;50,307;µg NO2/m3;
ES1612A;2007;;Nitrogen oxides (air);NOX;50,151;µg NO2/m3;
ES1866A;2010;;Nitrogen monoxide (air);NO;4,78;µg/m3;
ES1418A;2007;;Nitrogen oxides (air);NOX;30,327;µg NO2/m3;
ES0356A;2009;;Nitrogen monoxide (air);NO;6,136;µg/m3;
ES1631A;2012;;Carbon monoxide (air);CO;0,1;mg/m3;
ES1183A;2002;;Carbon monoxide (air);CO;0,383;mg/m3;
ES1247A;2008;;Nitrogen monoxide (air);NO;4,551;µg/m3;
FR24015;2011;;Nitrogen oxides (air);NOX;40,86;µg NO2/m3;
ES1745A;2007;;Nitrogen monoxide (air);NO;4,507;µg/m3;
ES1350A;2006;;Nitrogen oxides (air);NOX;64,75;µg NO2/m3;
ES1624A;2006;;Nitrogen oxides (air);NOX;25,829;µg NO2/m3;
ES1443A;2007;;Carbon monoxide (air);CO;0,662;mg/m3;
ES1613A;2003;;Nitrogen monoxide (air);NO;10,76;µg/m3;
ES0008R;2010;;Nitrogen monoxide (air);NO;0,507;µg/m3;
PT03083;2012;;Nitrogen monoxide (air);NO;10,422;µg/m3;
ES1346A;2011;;Nitrogen monoxide (air);NO;6,061;µg/m3;
ES0126A;2007;;Nitrogen oxides (air);NOX;76,28;µg NO2/m3;
ES1121A;1999;;Total suspended particulates (aerosol);SPM;34,367;µg/m3;
ES1635A;2010;;Carbon monoxide (air);CO;0,156;mg/m3;
PT03010;2006;;Carbon monoxide (air);CO;0,24;mg/m3;
ES1644A;2005;;Nitrogen oxides (air);NOX;56,258;µg NO2/m3;
ES0588A;1998;;Total suspended particulates (aerosol);SPM;38,076;µg/m3;
FR25039;2012;;Nitrogen oxides (air);NOX;26,488;µg NO2/m3;
ES1239A;2011;;Nitrogen oxides (air);NOX;63,98;µg NO2/m3;
ES1247A;2009;;Nitrogen oxides (air);NOX;16,138;µg NO2/m3;
ES1596A;2006;;Nitrogen monoxide (air);NO;17,801;µg/m3;
ES1420A;2009;;Nitrogen oxides (air);NOX;7,276;µg NO2/m3;
ES1393A;2009;;Benzene (air);C6H6;2,091;µg/m3;
PT01052;2011;;Carbon monoxide (air);CO;0,256;mg/m3;
PT01043;2010;;Toluene (air);C6H5-CH3;7,946;µg/m3;
ES0330A;2008;;Nitrogen oxides (air);NOX;8,885;µg NO2/m3;
ES1795A;2006;;Nitrogen monoxide (air);NO;2,575;µg/m3;
ES1903A;2010;;Nitrogen oxides (air);NOX;36,486;µg NO2/m3;
ES1551A;2009;;Carbon monoxide (air);CO;0,332;mg/m3;
ES1291A;1997;;Total suspended particulates (aerosol);SPM;57,988;µg/m3;
PT06007;2007;;Carbon monoxide (air);CO;0,155;mg/m3;
ES1604A;2006;;Nitrogen oxides (air);NOX;19,164;µg NO2/m3;
ES1131A;2003;;Nitrogen monoxide (air);NO;21,818;µg/m3;
ES1133A;2002;;Nitrogen monoxide (air);NO;10,667;µg/m3;
ES1662A;2012;;Carbon monoxide (air);CO;0,213;mg/m3;
ES1710A;2009;;Carbon monoxide (air);CO;0,258;mg/m3;
ES1262A;2004;;Nitrogen oxides (air);NOX;141,805;µg NO2/m3;
FR03004;2008;;Carbon monoxide (air);CO;0,66;mg/m3;
ES1369A;2001;;Nitrogen oxides (air);NOX;6,04;µg NO2/m3;
ES1291A;2008;;Toluene (air);C6H5-CH3;0,823;µg/m3;
ES0817A;2012;;Benzene (air);C6H6;1,386;µg/m3;
ES1815A;2007;;Nitrogen monoxide (air);NO;8,08;µg/m3;
FR20013;2004;;Nitrogen oxides (air);NOX;328,647;µg NO2/m3;
ES1535A;2006;;Nitrogen monoxide (air);NO;7,966;µg/m3;
ES0327A;2007;;Nitrogen monoxide (air);NO;3,651;µg/m3;
ES1358A;2007;;Nitrogen oxides (air);NOX;68,142;µg NO2/m3;
ES1161A;2008;;Carbon monoxide (air);CO;0,504;mg/m3;
ES1121A;2002;;Nitrogen monoxide (air);NO;14,244;µg/m3;
ES1610A;2008;;Toluene (air);C6H5-CH3;9,324;µg/m3;
FR16004;2004;;Nitrogen oxides (air);NOX;48,787;µg NO2/m3;
ES1752A;2012;;Carbon monoxide (air);CO;0,231;mg/m3;
FR12009;2000;;Carbon monoxide (air);CO;1,6;mg/m3;
PT03055;1999;;Nitrogen oxides (air);NOX;101,32;µg NO2/m3;
